id;name
5e601378-3ebb-4a76-9553-b5faa4c69594;AGENTE NO TIPIFICO
100cdf31-fee4-458d-b1d1-cccc16eb7758;BANCA PRIVADA,CAMPAÑAS Y OFERTAS,CONSULTA CAMPAÑA PAGA MARZO
90b0c93c-c62d-4e2d-bb6e-aafdc69740d7;BANCA PRIVADA,NUEVA APP GLOMO,CONSULTAS GLOMO
1f2402ca-20c0-4eed-b7eb-aa5e4eba08fd;BBVACIA-BEI,Deja mensaje,Consulta Comercial
997533fd-e9e0-4680-a5b7-f545c8fbdead;BBVACIA-BEI,Deja mensaje,Devolver llamada
125f9089-9d42-43a7-adb5-dd9fd9f848da;BBVACIA-BEI,Deja mensaje,En espera de respuesta por correo
36addc20-4c0b-44ce-a93b-415ab513556f;BBVACIA-BEI,Derivado a otra area,Comex
03222747-082a-4f3f-bb18-564537e5e023;BBVACIA-BEI,Derivado a otra area,Línea Empresas: Net Cash
667f6372-2db8-492b-b20c-78630afac2bc;BBVACIA-BEI,Derivado a otra area,Otras
f6bd0bf4-52bf-4283-8231-366cb68c99c4;BBVACIA-BEI,Derivado a otra area,Tipo de cambio
f3bb5e4f-f6ab-4b94-be01-7ab786c9c0d8;BBVACIA-BEI,Derivado al comercial,General
943da2b4-8c41-49e5-934f-e0588bf93131;BBVACIA-BEI,Resulto por el operativo,Cartas De Instrución
b5517f08-d053-480b-9403-ecc65a62ac11;BBVACIA-BEI,Resulto por el operativo,Cheques
319f0e4f-27b3-4c9e-bfa3-3e57b8863a48;BBVACIA-BEI,Resulto por el operativo,Comex
f5a89ed4-d123-4e7d-8de9-bdb638172f45;BBVACIA-BEI,Resulto por el operativo,CTS
9836d315-23d7-4b20-848c-d0018f124a96;BBVACIA-BEI,Resulto por el operativo,Cuentas
3d561824-22ed-45a2-84de-5709794b7134;BBVACIA-BEI,Resulto por el operativo,Essalud
29477098-1974-4a37-87ca-d8b29a830098;BBVACIA-BEI,Resulto por el operativo,Fianzas
890acfdb-9009-4176-a4f4-115625f09d42;BBVACIA-BEI,Resulto por el operativo,Firmas y poderes
3f95b2c4-4c67-4545-960e-eee3bfdf04b3;BBVACIA-BEI,Resulto por el operativo,Garantias y tasaciones
c3d42cff-b2e0-43b3-b4a8-2ec40659eef1;BBVACIA-BEI,Resulto por el operativo,Leasing
ee856dee-03e6-442e-b265-74445323e554;BBVACIA-BEI,Resulto por el operativo,Letras / cartera
267a009d-c94e-4da7-8958-38f8d803e573;BBVACIA-BEI,Resulto por el operativo,Net Cash
8d340c65-c716-485a-9b86-25782a757586;BBVACIA-BEI,Resulto por el operativo,Otras
223da78c-69b3-42ee-ad48-af3dd314a61e;BBVACIA-BEI,Resulto por el operativo,Pago haberes
88fafe3a-7767-4e8a-a9f3-bf882ff84653;BBVACIA-BEI,Resulto por el operativo,Pago provedores
fe341aa0-eb47-4b8b-bbfd-30da8908adef;BBVACIA-BEI,Resulto por el operativo,Préstamos
e2c40f96-b2fd-4f25-bf4a-cdee2f57dc7b;BBVACIA-BEI,Resulto por el operativo,Reclamos
7bb00f1f-a202-4559-9d8f-fa14704c1bfe;BBVACIA-BEI,Resulto por el operativo,Requerimientos
c4c02bb7-b13d-4ce2-bd8d-dfb19951bff5;BBVACIA-BEI,Resulto por el operativo,Retenciones Judiciales
2ec4e3ba-2fc3-48d1-9310-bc7eaea61acb;BBVACIA-BEI,Resulto por el operativo,Seguros
99e13ee8-0065-40b4-9841-11fe3b5f529d;BBVACIA-BEI,Resulto por el operativo,Tarjetas
7773f250-72aa-4eb0-b7ee-40fbb7a7d84a;BBVACIA-BEI,Resulto por el operativo,Tipo De Cambio
fd01c09e-3cf0-49fe-8438-7b6aba51923c;BBVACIA-BEI,Resulto por el operativo,Transferencias
208cb79e-a743-412b-9226-edf3b86f2a92;BOP,CAMPANAS Y OFERTAS,CONSULTA BONO SOCIAL GOBIERNO
b9420ca6-b6db-473d-b60b-fd92b7774855;BOP,CAMPANAS Y OFERTAS,CONSULTA DEVOLUCION BONO SOCIAL GOBIERNO
45db3241-e831-4d58-bd93-c0120901e2e1;BOP,CAMPANAS Y OFERTAS,CONSULTA OFERTA COMERCIAL
3faeed3b-49c5-428f-9259-01719caaaaac;BOP,CAMPAÑAS Y OFERTAS,CONSULTA BONO SOCIAL GOBIERNO
102cb099-5069-42a8-8c5d-7e33eb15659c;BOP,CAMPAÑAS Y OFERTAS,CONSULTA CAMPAÑA PAGA MARZO
38a5d3b0-39cb-4f39-9f63-4c4a456e2242;BOP,CAMPAÑAS Y OFERTAS,CONSULTA DEVOLUCION BONO SOCIAL GOBIERNO
38b214f1-8e5e-448c-9152-6349396d14b9;BOP,CANALES DIGITALES,BLOQUEO TOKEN DIGITAL
eb2ef667-c70c-4ef5-ba3f-7a44405168a9;BOP,CANALES DIGITALES,BXI -CONSULTA DE NAVEGACION Y USO
57fac3d8-9d51-4fe4-a36d-4faa7ee76d36;BOP,CANALES DIGITALES,CONSULTA BIOMETRIA FACIAL AFP
1495de7c-842e-47f6-9f6c-ff7827de6502;BOP,CANALES DIGITALES,CONSULTA CLAVE SMS
6afafe90-94e3-4944-ac2e-8096f0ee9151;BOP,CANALES DIGITALES,CONSULTA DE AFILIACION/INSCRIPCION
8725d583-a98c-4563-b600-3e83d35d996d;BOP,CANALES DIGITALES,CONSULTA EFECTIVO MOVIL
edd91c77-ca8d-43b7-bba4-6d76f79081d1;BOP,CANALES DIGITALES,CONSULTA LUKITA/PLIN
